magnitude,fault_depth,fault_angle,fault_length,volcano
5.683776514,6.593868436,66.54302615,18.37069114,1
4.595782948,3.901338354,19.26175025,0.298812249,1
4.7321015,4.278531194,31.32200745,12.79675369,1
4.548045411,4.418310387,30.11243255,11.1263541,1
4.838043366,4.943698345,-7.512702209,18.20858587,1
4.847247229,3.670953562,57.87215869,50.32416208,1
4.48979711,3.328331264,-11.93878466,3.549660466,1
4.234457253,3.760688234,28.97579149,8.171569709,1
5.477954082,5.791522942,30.66955914,6.127733259,1
4.472247958,3.315197529,19.19279842,7.866033047,1
3.724033352,2.802839871,29.10335031,2.841365988,1
5.177990159,6.031396074,25.5947488,0.022367489,1
5.913879954,6.532178432,37.09301268,0.001192442,1
4.103444502,0.534590952,28.9293929,0.254650605,1
4.195020096,1.63531857,21.05154832,0.084637403,1
5.375943594,6.314117096,9.910012757,15.21999293,1
4.466273104,3.765620671,46.18326387,43.07439526,1
4.412461058,2.953109959,44.54249691,42.93229519,1
4.453303771,3.201790402,26.10365159,4.927429259,1
5.129880611,5.320065863,32.40769889,0.00137427,1
3.881466831,1.673953749,-12.48360261,0.027927378,1
4.373143887,3.806849863,29.12359005,8.683270674,1
5.438539841,6.051119165,51.82567888,0.091477456,1
6.693269566,7.12259616,43.37518041,147.5967515,1
4.035662356,1.522734774,-7.477768074,16.80653626,1
6.963638727,7.96199986,48.97568501,162.4771003,1
4.660374564,3.757496959,43.09796704,11.9447145,1
5.917267415,5.164704472,36.27561418,103.5493659,1
4.90259895,5.505535349,49.57258524,5.477325345,1
5.999653162,6.679574493,43.41420089,53.67567311,1
6.157851613,6.51965807,49.2454922,56.70654045,1
6.83229955,8.231766704,38.68848544,25.98544879,1
5.559143417,6.262838395,73.77539452,35.25964876,1
5.220002143,6.015148303,39.71207042,40.80054544,1
4.323759437,3.471509283,30.46546746,6.467526824,1
4.896370985,4.217654521,38.64275261,26.84906929,1
5.404936894,5.904642228,9.782784292,0.8096838,1
4.595434878,3.277512938,2.199973382,5.842998435,1
5.959576602,6.361877883,31.3774952,161.2139467,1
4.972222062,5.187212424,40.15961791,58.23331682,1
6.216390215,7.131868748,31.21286891,8.95738291,1
5.635109574,5.67425677,38.12863778,4.512816799,1
3.68878803,0.531044947,25.55202183,0.145398138,1
6.878411264,8.409424439,73.14593635,19.84445669,1
3.966126205,0.716403391,13.79167302,0.724534859,1
5.025578438,4.888728,47.85105804,26.28641103,1
5.47545249,5.435622795,30.82893786,0.135721883,1
6.455103846,7.612321233,15.76672288,67.19849954,1
4.891960326,5.473843439,64.19969611,0.072884455,1
3.995992636,1.562930739,37.87476082,0.607629761,1
4.403127759,3.022933928,20.86477111,52.42417954,1
4.466290212,3.58615439,33.59701255,0.516603821,1
6.449667883,7.722524747,38.9395929,6.417849864,1
5.203268932,5.263119388,35.39630181,29.47338463,1
4.779156727,2.703285107,64.71213472,115.2703097,1
6.195467367,7.289006999,46.23192237,14.72199844,1
4.417012464,3.278142903,30.99952172,0.822253873,1
5.097652927,3.670410363,28.32237168,110.4875444,1
4.582892217,2.552786907,16.94885749,56.71084378,1
3.576970817,1.162736978,1.272861978,1.709712975,1
5.768187617,6.5260655,42.86062595,0.290819396,1
6.439783579,7.646409485,28.91946113,78.27670215,1
6.611522626,8.249582659,54.54562879,12.57325653,1
5.714747423,6.397376301,51.459063,6.59554438,1
5.210816151,5.63233757,38.4915826,33.43239578,1
6.935904177,7.868424127,60.60463078,49.17905344,1
4.604178919,0.636874665,29.70200983,86.22618848,1
4.145408586,3.726467233,21.73384983,0.166939811,1
4.578201013,5.055746222,67.77091787,12.20379296,1
4.182130846,1.995903596,44.54277955,23.79102405,1
4.046499044,3.295627506,-3.716604275,0.423652416,1
4.41146187,1.884374987,30.12572872,0.178602718,1
5.82173083,7.349173555,41.12904895,2.201668003,1
4.855395102,5.783969702,-0.912272928,0.002188323,1
4.089900033,1.544634473,43.83325903,4.323825135,1
6.777624897,8.277083227,57.37748857,21.36168008,1
4.250666006,2.789217606,14.52821969,11.16982328,1
6.002024131,6.719453298,34.30361286,1.505655873,1
4.336033119,1.909132691,-16.82968272,52.12735154,1
5.565516597,4.991658688,39.06763225,115.3460339,1
5.609738409,6.214020466,41.15450043,62.91352223,0
5.95944979,7.154972382,75.63272575,3.844637986,0
4.530406213,1.936970538,18.85575888,123.0165717,0
4.422842198,2.874030756,23.57051456,59.54210099,0
4.42968872,2.52155377,46.59979011,16.94578278,0
4.971795007,3.651182659,-8.625204399,159.1653581,0
4.318864055,1.207699042,12.22249054,118.957817,0
4.892712454,0.634251226,20.80317387,174.2592704,0
5.270784456,5.5364949,65.14642964,11.91012726,0
4.318799654,1.873226285,-10.39463986,83.70168642,0
5.082278189,5.572795328,4.691933929,24.58269317,0
4.729639376,2.259467022,45.01667391,133.038146,0
7.124220606,8.181402426,50.90560301,47.76275554,0
5.846005934,5.78394459,29.11184534,174.9334462,0
4.772358051,0.950380823,16.03855791,154.7849907,0
5.996492638,6.377487771,9.633503635,92.00567026,0
5.387928098,5.939275019,38.9618034,40.45833622,0
4.561176225,3.069131142,25.35763923,1.971375884,0
4.418688292,2.349808408,36.1775267,24.11749884,0
4.946519553,4.913245723,32.88798978,4.476496492,0
4.178689867,1.805379324,-18.94813202,0.284127833,0
4.405157128,0.79318662,39.03845988,9.475997892,0
6.11747985,7.769851992,49.20981675,0.003475052,0
5.183830223,5.759181853,39.75732954,0.382606098,0
4.317904156,0.892273802,-8.586045824,71.72988084,0
5.906499505,6.905338315,9.306435925,58.8790196,0
4.361479129,3.282884141,19.82198685,79.08758428,0
3.896630564,0.962790376,19.25492177,0.289811442,0
3.963580496,1.176091004,15.9650729,1.868690846,0
4.339694941,2.590856925,22.06826973,63.74197499,0
6.182879703,7.342791688,41.50556629,12.68714913,0
3.721365048,0.708220232,13.51739201,34.61250445,0
4.78170882,4.367668128,69.47975696,12.74985965,0
5.641685909,6.18436392,83.0145046,60.94555231,0
5.087221095,2.462799232,38.64324427,152.5392472,0
4.307878506,3.71040204,21.01805799,0.03410517,0
5.375050546,6.11994113,64.39110255,7.342681968,0
5.628715371,6.038677296,14.88908711,0.298312445,0
6.122699273,6.904750414,44.0668671,75.87827833,0
5.686826721,6.77329272,32.80125407,103.7809913,0
5.492748869,5.420809237,37.27977712,0.000320323,0
5.652580292,5.192779243,-3.809435189,167.7124731,0
5.117117755,3.40393679,28.30685036,158.4209609,0
4.319187431,1.435004216,21.458434,149.7749669,0
3.974237275,2.007206047,20.57159657,3.039873545,0
6.878118919,8.177257929,91.8342228,10.40710405,0
5.601141555,6.072922913,34.31295166,48.35455629,0
4.176663734,0.736113429,10.62197257,9.549895296,0
4.429501875,2.232079811,21.15799033,126.9940187,0
5.607777641,5.814826738,0.590263014,160.3754162,0
4.147699137,1.794683136,5.201720868,3.4582278,0
4.014586045,1.908531589,10.14661722,3.119976998,0
4.451541574,2.073383372,50.01967428,1.286103845,0
4.545527887,1.637051893,17.97028929,17.89617454,0
5.557398721,6.769721571,49.43034299,0.268003535,0
4.714246357,4.72345336,57.70500899,1.008836242,0
5.916176665,7.122186961,45.65959403,1.074947215,0
4.003076008,1.314103678,16.04720893,0.001463698,0
5.026791975,4.832955461,31.25738048,8.620770601,0
5.660585463,6.177254142,35.73988078,39.72226869,0
4.69283983,3.966285234,28.82055121,0.029322725,0
5.671389776,5.19882912,28.47823345,162.7823616,0
4.197021733,2.798652213,29.05555071,41.37625782,0
4.70558528,4.255806988,3.356496173,30.95292577,0
6.397366915,7.69057299,48.0835074,0.614601762,0
6.228070201,7.441816743,79.76935297,1.789334326,0
4.77928723,3.338668022,8.124297995,91.49943445,0
5.691546499,5.559426295,41.57858369,99.54885643,0
4.599096856,4.046221472,56.14957648,20.03330722,0
4.158457215,2.646743448,58.92343308,6.992569047,0
4.579614274,1.859766135,17.41799715,4.840202114,0
4.287045483,2.980110373,25.83068008,2.056484679,0
5.639333496,5.171106385,36.20066128,90.82521359,0
6.707346869,7.488757344,49.21207383,91.17951435,0
5.731538423,6.381666547,38.83564596,6.653528524,0
4.29978037,0.961249778,-6.334514508,7.354363056,0
6.231533083,7.351554472,60.13637071,10.37896435,0
5.922339868,6.968220636,9.66842002,64.91406871,0
5.130981876,5.027931327,33.92614918,39.45377176,0
4.000303741,0.964818006,16.00964498,0.000120421,0
3.930154428,1.629354076,-8.099872206,0.50634064,0
6.348746308,7.308504762,55.67881927,23.82881123,0
4.995279616,5.218226654,36.57977309,5.243969628,0
6.304814454,6.610856405,76.84038436,50.01164361,0
4.537608122,3.011704439,46.23570355,0.021173514,0
4.444460795,0.694148077,-26.2105092,0.200783762,0
5.760275297,7.425736202,48.36984757,0.074606895,0
4.504951251,1.9702031,39.17235679,30.89698508,0
4.627144581,4.14323446,25.92510608,7.4590479,0
5.101560153,4.889151504,33.18450431,3.399290954,0
4.241735646,3.082666902,15.03239294,54.1456736,0
4.169704288,0.728588432,13.44432129,51.90912886,0
5.908793165,6.057956513,71.2797709,60.24792259,0
4.741877362,4.145855241,-9.428393708,18.79842698,0
5.016957067,3.873376176,23.87231906,30.98423921,0
4.397667819,0.86968041,17.11454747,16.65561788,0
6.212810824,6.36358089,36.75383669,102.6147042,0
5.775437599,6.351154225,0.285841,109.8135731,0
4.551817366,2.115174346,28.17878615,13.57018945,0
5.285533337,5.306633327,20.94946843,23.87786456,0
4.594353237,3.271964515,5.431313287,5.141702064,0
4.270745277,2.676267784,-4.221610569,19.75005898,0
7.252234035,7.458108535,42.49225765,149.9489059,0
4.366865302,2.445586976,-14.981421,57.43918103,0
6.553980815,7.722322224,43.58345506,61.4985113,0
6.07984839,6.817694994,52.78378407,92.27947369,0
3.935170431,0.522766985,-6.734698711,55.69798534,0
5.199415763,5.516197506,30.45214284,28.7699837,0
4.113514176,0.704140699,-21.98490857,1.400928309,0
4.560476563,3.576887991,67.84293211,0.138177247,0
4.203824758,3.128078897,31.05298789,19.1972366,0
7.121707029,8.18865086,39.9960647,82.54344672,0
5.400008302,5.422195736,32.74964573,0.178782671,0
5.275958736,4.918434093,18.70211142,95.71238698,0
4.531756366,4.228963861,22.55717444,28.65219229,0
4.323060949,2.547142277,24.20132177,51.49471543,0
5.820531363,6.750019548,19.50372487,77.75227602,0
